Titulo,Autor,Duracion
The Butcher's Masquerade,Matt Dinniman,Length: 23 hrs and 33 mins
The End of the World Is Just the Beginning,Peter Zeihan,Length: 14 hrs and 45 mins
The Ink Black Heart,Robert Galbraith,Length: 20 hrs
Just Tyrus,Tyrus,Length: 6 hrs and 30 mins
Scars and Stripes,Tim Kennedy,Length: 17 hrs
2000 Mules,Dinesh D'Souza,Length: 4 hrs and 16 mins
Match Game,Craig Alanson,Length: 22 hrs and 13 mins
Happy-Go-Lucky,David Sedaris,Length: 7 hrs and 30 mins
Sparring Partners,John Grisham,Length: 9 hrs and 57 mins
He Who Fights with Monsters 6,Shirtaloon,Length: 15 hrs and 51 mins
The Power of One More,Ed Mylett,Length: 7 hrs and 30 mins
Noble Roots,Drew Hayes,Length: 25 hrs
Acyrologia,Dennis Vanderkerken,Length: 12 hrs and 17 mins
Encore in Death,J. D. Robb,Length: 11 hrs and 40 mins
Nightwork,Nora Roberts,Length: 16 hrs and 22 mins
Meant to Be,Emily Giffin,Length: 11 hrs and 31 mins
Rains of Liscor,pirateaba,Length: 32 hrs
The It Girl,Ruth Ware,Length: 13 hrs
Solo Leveling: Vol. 4,Chugong,Length: 7 hrs and 43 mins
Akata Woman,Nnedi Okorafor,Length: 13 hrs and 17 mins
Portrait of an Unknown Woman,Daniel Silva,Length: 12 hrs
All for Love,Matt Kahn,Length: 5 hrs and 26 mins
Convergence,Craig Alanson,Length: 16 hrs and 40 mins
Commune 5,Joshua Gayou,Length: 20 hrs and 43 mins
A Mage's Guide to Human Familiars,AJ Sherwood,Length: 11 hrs and 58 mins
Beware of Chicken: A Xianxia Cultivation Novel,Casualfarmer,Length: 12 hrs and 35 mins
Fairy Tale,Stephen King,Length: 24 hrs
Glacier's Edge,R. A. Salvatore,Length: 14 hrs
The Diva Says Cheesecake!,Krista Davis,Length: 8 hrs and 12 mins
Tom Clancy Zero Hour,Don Bentley,Length: 12 hrs and 30 mins
Storm Echo,Nalini Singh,Length: 12 hrs and 30 mins
Chain of Thorns,Cassandra Clare,Length: 21 hrs
Phantom Deadfall,Christopher Hopper,Length: 11 hrs and 9 mins
American Royals III: Rivals,Katharine McGee,Length: 12 hrs and 32 mins
Child of Destiny,Christopher G. Nuttall,Length: 11 hrs and 33 mins
The Primal Hunter 2,Zogarth,Length: 19 hrs and 25 mins
Here's the Deal,Kellyanne Conway,Length: 19 hrs and 57 mins
Surrender,Bono,Length: 12 hrs
A Game of Retribution,Scarlett St. Clair,Length: 11 hrs
Engineering Home,A. American,Length: 12 hrs and 30 mins
The Hotel Nantucket,Elin Hilderbrand,Length: 12 hrs and 27 mins
"I'd Like to Play Alone, Please",Tom Segura,Length: 6 hrs and 4 mins
Rotten to the Core,T E Kinsey,Length: 8 hrs and 46 mins
Battle for the American Mind,Pete Hegseth,Length: 9 hrs and 23 mins
Righteous Prey,John Sandford,Length: 12 hrs
The Krytos Trap: Star Wars Legends (Rogue Squadron),Michael A. Stackpole,Length: 14 hrs
The Law,Jim Butcher,Length: 2 hrs and 46 mins
Nona the Ninth,Tamsyn Muir,Length: 11 hrs and 15 mins
The Bullet That Missed,Richard Osman,Length: 12 hrs
Trick of the Night,Eric Ugland,Length: 7 hrs and 29 mins
Cold as Hell,Rhett C. Bruno,Length: 12 hrs and 51 mins
Tanqueray,Stephanie Johnson,Length: 3 hrs and 30 mins
Livid,Patricia Cornwell,Length: 12 hrs
Oath of Loyalty,Vince Flynn,Length: 8 hrs and 30 mins
Desert Star,Michael Connelly,Length: 12 hrs
The Man Burned by Winter,Pete Zacharias,Length: 9 hrs and 53 mins
Trouble with the Cursed,Kim Harrison,Length: 18 hrs
The Lost Metal,Brandon Sanderson,Length: 10 hrs
Clause of Death,Lorna Barrett,Length: 11 hrs and 30 mins
Upgrade,Blake Crouch,Length: 11 hrs
The Last Orphan,Gregg Hurwitz,Length: 11 hrs
Sons of Valor II: Violence of Action,Brian Andrews,Length: 12 hrs
Desperation in Death,J. D. Robb,Length: 10 hrs
Going Rogue,Janet Evanovich,Length: 7 hrs
After the Rapture,Dr. David Jeremiah,Length: 5 hrs and 4 mins
Darius,J.R. Ward,Length: 5 hrs
"Avatar, the Last Airbender: The Dawn of Yangchen",F. C. Yee,Length: 11 hrs
The Book of Joe,Jason Anspach,Length: 10 hrs and 53 mins
The House Across the Lake,Riley Sager,Length: 11 hrs and 3 mins
An Immortal’s Pain,Auburn Tempest,Length: 8 hrs and 13 mins
Biomancer 2,Shemer Kuznits,Length: 13 hrs and 19 mins
Good Vibrations,Kayley Loring,Length: 7 hrs and 26 mins
A Necessary Heresy,Davis Ashura,Length: 21 hrs and 49 mins
Legacy of Stars,J.N. Chaney,Length: 9 hrs and 58 mins
Why We Did It,Tim Miller,Length: 8 hrs and 30 mins
No Place to Hide,Matthew Costello,Length: 3 hrs and 18 mins
Under Her Care,Lucinda Berry,Length: 9 hrs
Overkill,Sandra Brown,Length: 14 hrs
The Words,Ashley Jade,Length: 18 hrs and 44 mins
Resilient,John Eldredge,Length: 5 hrs and 34 mins
Carrie Soto Is Back,Taylor Jenkins Reid,Length: 14 hrs
Clive Cussler's Dark Vector,Graham Brown,Length: 11 hrs and 2 mins
Finding Carly,Susan Stoker,Length: 9 hrs and 36 mins
Farilane,Michael J. Sullivan,Length: Not Yet Known
Two Nights in Lisbon,Chris Pavone,Length: 14 hrs and 30 mins
Sanibel Mornings,Hope Holloway,Length: 7 hrs and 51 mins
Shadow Hunter: Star Wars Legends (Darth Maul),Michael Reaves,Length: 14 hrs
