user,text
@ANDRO1711,"Iván Duque, sobre las elecciones en Colombia: ""Si pudiera presentarme, estaría en la pelea y sería reelecto” - BBC News Mundo (Sus palabras muestran a un cínico o a un desinformado total, sobre el acontecer de Colombia)"
@ElizbethCristi7,Falta 8 días para que Marbella se vaya de colombia Yupi Falta que Uribe diga lo mismo
@PactoCol,“Con @petrogustavo y @FranciaMarquezM podemos comenzar una era de paz en Colombia ¡El cambio en primera!” @Margaritarosadf #ColombiaEsMujer
@DCoronell,"Hay que ser muy vanidoso para pensar así: Iván Duque sobre las elecciones en Colombia: ""Si pudiera presentarme, estaría en la pelea y sería reelecto"" - BBC News Mundo"
@ingrodolfohdez,"Mi campaña significa la unión de Colombia para acabar con la corrupción y poder salir adelante. Quien tenga esta meta y quiera sumarse apoyando, siempre será bienvenido. #RodolfoPresidente #RodolfoHernandez #Elecciones2022 #LigaAnticorrupcion"
@OrlenysOV,Preparando cobertura internacional conjunta de las elecciones en Colombia el próximo domingo...
@ElQueLosDELATA,"¡Vamos, ayúdenme a subir este ht para que el capítulo de hoy llegue a millones en Colombia y en todo el mundo! #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2"
@soyhugoarmando,“Ni todos los fusiles juntos podrían cambiar la historia de Colombia como lo podría cambiar un esfero”: Gustavo Petro
@fdbedout,"“Si me lanzo a la presidencia de Colombia, la gano con el 70% de los votos” Nicolás Maduro, 29 de diciembre 2016. “Si pudiera presentarme, estaría en la pelea y sería reelecto” @IvanDuque , 22 de Mayo 2022. El delirio del poder puede crear efectos y semejanzas desconcertantes."
@bbcmundo,"Iván Duque, sobre las elecciones en Colombia: ""Si pudiera presentarme, estaría en la pelea y sería reelecto”"
@VanessaOrtizz,"Petro debería quedarse en casa, por su seguridad. Colombia está a una semana de cambiar su destino. El uribismo tiene las horas contadas en la Casa de Nariño. Yo celebraré esa derrota"
@jkrincon,"Iván Duque está delirando. Dijo en Turquía que el Clan del Golfo “ya no existe en Colombia”. Ah, bueno, ¿entonces quiénes quemaron camiones, amenazaron gente y tuvieron más de un centenar de municipios confinados? ¿Fantasmas? Somos el país de masacres que nadie comete."
@alejavillegasl,Aquí estamos firmes con el próximo Presidente de Colombia Vamos con toda con el numeral #FedericoEsColombia
@LucasArnau,"Estamos en un momento crucial para Colombia, la democracia está en juego, nuestros derechos y nuestras libertades están en juego, mi voto es por @FicoGutierrez creo en su convicción para salvar a Colombia, para unirla y para protegerla!"
@WomanDelCalao,"Se viene una semana intensa para Colombia, respiren, tomen agüita y traten de mantener la cabeza fría, prendan velitas y pídanle a quien quieran que les de tranquilidad y serenidad. Bonita semana."
@Dylan_colo,SE HIZO SOLD OUT VIVA COLOMBIA VIVA FALCAO Y VIVA LOUIS TOMLINSON HPTAAAAAA
@4F_Mamba,"Ojalá Petro gane las elecciones en Colombia, para que se vayan los millones de colombianos de Venezuela. El sol de Venezuela nace en el Esequibo"
@AlexFlorezH,El uribismo es el cancer de Colombia. Lo extirpamos o nos mata.
